loss,ppl,wps,ups,wpb,bsz,num_updates,lr,gnorm,clip,oom,sample_size
12.708,6689.64,3925,1.4,2890,71,1,0.25,0.260,100%,0.0,2890.0
12.699,6647.27,3363,1.3,2765,72,2,0.25,0.249,100%,0.0,2765.0
12.692,6618.48,2670,1.6,1941,49,3,0.25,0.543,100%,0.0,1940.6666666666667
12.687,6593.58,2289,1.9,1527,38,4,0.25,0.663,100%,0.0,1527.25
12.651,6430.56,3130,1.7,1994,80,5,0.25,0.594,100%,0.0,1994.0
12.631,6342.32,3389,1.6,2223,111,6,0.25,0.555,100%,0.0,2223.3333333333335
12.610,6252.92,3526,1.5,2360,109,7,0.25,0.518,100%,0.0,2359.8571428571427
12.590,6166.49,3391,1.5,2287,128,8,0.25,0.536,100%,0.0,2287.25
12.579,6117.40,3359,1.6,2139,115,9,0.25,0.535,100%,0.0,2139.0
12.530,5914.99,3278,1.6,2140,140,10,0.25,0.582,100%,0.0,2139.9
12.478,5703.89,3350,1.5,2212,132,11,0.25,0.588,100%,0.0,2211.909090909091
12.416,5466.52,3482,1.5,2308,137,12,0.25,0.595,100%,0.0,2308.1666666666665
12.357,5247.75,3528,1.5,2357,136,13,0.25,0.604,100%,0.0,2357.3076923076924
12.282,4980.92,3531,1.5,2378,134,14,0.25,0.620,100%,0.0,2377.9285714285716
12.279,4970.86,3593,1.5,2443,128,15,0.25,1.045,100%,0.0,2442.6
12.275,4954.53,3634,1.5,2485,124,16,0.25,1.455,100%,0.0,2485.1875
12.108,4414.28,3658,1.4,2554,143,17,0.25,1.438,100%,0.0,2553.8823529411766
12.040,4212.20,3726,1.4,2620,148,18,0.25,1.613,100%,0.0,2620.0
12.256,4890.42,3656,1.5,2500,141,19,0.25,4.152,100%,0.0,2500.4210526315787
12.576,6105.86,3669,1.5,2521,137,20,0.25,4.635,100%,0.0,2520.6
13.298,10074.83,3693,1.5,2551,132,21,0.25,5.544,100%,0.0,2550.904761904762
13.434,11068.84,3751,1.4,2606,133,22,0.25,5.817,100%,0.0,2606.2727272727275
13.542,11931.21,3733,1.5,2546,128,23,0.25,6.217,100%,0.0,2546.0
13.923,15529.81,3684,1.5,2465,123,24,0.25,9.010,100%,0.0,2464.875
13.998,16362.64,3626,1.5,2372,118,25,0.25,11.010,100%,0.0,2372.04
14.018,16586.10,3650,1.5,2396,117,26,0.25,10.941,100%,0.0,2395.653846153846
13.909,15382.77,3689,1.5,2427,118,27,0.25,10.751,100%,0.0,2426.6666666666665
13.799,14248.84,3728,1.5,2470,120,28,0.25,10.573,100%,0.0,2469.964285714286
13.724,13534.85,3748,1.5,2495,118,29,0.25,10.428,100%,0.0,2494.655172413793
13.584,12276.22,3766,1.5,2514,121,30,0.25,10.128,100%,0.0,2513.5
13.435,11076.09,3794,1.5,2546,126,31,0.25,9.834,100%,0.0,2546.4193548387098
13.322,10243.90,3809,1.5,2567,124,32,0.25,9.556,100%,0.0,2566.625
13.207,9454.67,3836,1.5,2598,125,33,0.25,9.299,100%,0.0,2598.212121212121
13.095,8751.04,3865,1.5,2632,126,34,0.25,9.063,100%,0.0,2632.176470588235
12.999,8188.62,3882,1.5,2658,127,35,0.25,8.840,100%,0.0,2658.114285714286
12.880,7536.42,3914,1.5,2694,132,36,0.25,8.633,100%,0.0,2693.6944444444443
12.805,7154.49,3917,1.5,2700,131,37,0.25,8.432,100%,0.0,2700.3513513513512
12.744,6860.77,3924,1.4,2712,129,38,0.25,8.234,100%,0.0,2711.8947368421054
12.671,6521.70,3933,1.4,2727,130,39,0.25,8.045,100%,0.0,2726.6666666666665
12.670,6515.25,3896,1.5,2663,127,40,0.25,8.022,100%,0.0,2663.125
12.616,6277.66,3896,1.5,2669,125,41,0.25,7.862,100%,0.0,2669.390243902439
12.612,6258.89,3865,1.5,2617,122,42,0.25,7.828,100%,0.0,2617.2380952380954
12.555,6015.95,3865,1.5,2622,121,43,0.25,7.679,100%,0.0,2621.7906976744184
12.486,5738.60,3877,1.5,2633,120,44,0.25,7.526,100%,0.0,2633.318181818182
12.423,5490.97,3886,1.5,2646,119,45,0.25,7.369,100%,0.0,2646.133333333333
12.367,5283.12,3889,1.5,2655,118,46,0.25,7.219,100%,0.0,2655.2608695652175
12.304,5058.45,3902,1.5,2667,117,47,0.25,7.075,100%,0.0,2666.659574468085
12.207,4727.00,3909,1.5,2676,124,48,0.25,6.956,100%,0.0,2675.5416666666665
12.120,4451.68,3928,1.5,2693,127,49,0.25,6.825,100%,0.0,2693.469387755102
12.079,4327.22,3910,1.5,2684,127,50,0.25,6.701,100%,0.0,2684.1
12.071,4302.03,3898,1.5,2643,125,51,0.25,6.588,100%,0.0,2643.156862745098
12.001,4100.03,3917,1.5,2664,126,52,0.25,6.477,100%,0.0,2663.8846153846152
11.973,4019.72,3895,1.5,2650,126,53,0.25,6.370,100%,0.0,2650.490566037736
11.947,3949.06,3891,1.5,2636,124,54,0.25,6.275,100%,0.0,2635.703703703704
11.939,3925.29,3879,1.5,2599,122,55,0.25,6.182,100%,0.0,2598.6181818181817
11.888,3789.00,3887,1.5,2610,122,56,0.25,6.083,100%,0.0,2609.785714285714
11.847,3684.61,3889,1.5,2617,120,57,0.25,5.985,100%,0.0,2616.5789473684213
11.795,3552.72,3902,1.5,2636,121,58,0.25,5.892,100%,0.0,2635.8275862068967
11.756,3458.43,3906,1.5,2645,120,59,0.25,5.800,100%,0.0,2645.423728813559
11.724,3382.63,3901,1.5,2646,119,60,0.25,5.712,100%,0.0,2646.2166666666667
11.689,3302.74,3894,1.5,2644,120,61,0.25,5.629,100%,0.0,2643.8032786885246
11.660,3236.67,3899,1.5,2654,119,62,0.25,5.552,100%,0.0,2654.3387096774195
11.634,3177.92,3890,1.5,2651,118,63,0.25,5.470,100%,0.0,2651.063492063492
